Instance,Method,Profit,Weight,NumItems,Time,Feasible
15I5.txt,Greedy_MaxProfitWeight,1469,1229,24,0.000374,Yes
15I5.txt,Greedy_MinConflicts,5574,5284,29,0.000381,Yes
15I5.txt,GRASP_100_0.3,3737,3447,29,0.629225,Yes
16I1.txt,Greedy_MaxProfit,34837,33747,109,0.001671,Yes
16I1.txt,Greedy_MinWeight,11159,10059,110,0.001680,Yes
16I1.txt,Greedy_MaxProfitWeight,11159,10059,110,0.001730,Yes
16I1.txt,Greedy_MinConflicts,24597,23357,124,0.001677,Yes
16I1.txt,GRASP_100_0.3,15419,14289,113,12.726323,Yes
16I2.txt,Greedy_MaxProfit,36056,34946,111,0.002056,Yes
16I2.txt,Greedy_MinWeight,10112,9042,107,0.001606,Yes
16I2.txt,Greedy_MaxProfitWeight,10112,9042,107,0.001711,Yes
16I2.txt,Greedy_MinConflicts,25509,24279,123,0.001703,Yes
16I2.txt,GRASP_100_0.3,16807,15647,116,12.611418,Yes
16I3.txt,Greedy_MaxProfit,34621,33541,108,0.001959,Yes
16I3.txt,Greedy_MinWeight,10227,9147,108,0.001695,Yes
16I3.txt,Greedy_MaxProfitWeight,10227,9147,108,0.001628,Yes
16I3.txt,Greedy_MinConflicts,25411,24181,123,0.001677,Yes
16I3.txt,GRASP_100_0.3,16274,15084,119,13.184330,Yes
16I4.txt,Greedy_MaxProfit,35169,34079,109,0.002108,Yes
16I4.txt,Greedy_MinWeight,11628,10518,111,0.001721,Yes
16I4.txt,Greedy_MaxProfitWeight,11628,10518,111,0.001694,Yes
16I4.txt,Greedy_MinConflicts,25446,24256,119,0.001698,Yes
16I4.txt,GRASP_100_0.3,16807,15617,119,12.492500,Yes
16I5.txt,Greedy_MaxProfit,35450,34340,111,0.001728,Yes
16I5.txt,Greedy_MinWeight,9697,8587,111,0.001639,Yes
16I5.txt,Greedy_MaxProfitWeight,9697,8587,111,0.001724,Yes
16I5.txt,Greedy_MinConflicts,24866,23676,119,0.001602,Yes
16I5.txt,GRASP_100_0.3,13845,12705,114,12.374272,Yes
17I1.txt,Greedy_MaxProfit,19682,19082,60,0.001049,Yes
17I1.txt,Greedy_MinWeight,4876,4296,58,0.001010,Yes
17I1.txt,Greedy_MaxProfitWeight,4876,4296,58,0.000929,Yes
17I1.txt,Greedy_MinConflicts,13326,12666,66,0.001047,Yes
17I1.txt,GRASP_100_0.3,8564,7884,68,4.005320,Yes
17I2.txt,Greedy_MaxProfit,22024,21394,63,0.001061,Yes
